reference, reading, iT00, iT01, iT02, iT03, iT10, iT11, iT12, iT13, iT20, iT21, iT22, iT23, iT30, iT31, iT32, iT33
Hokuyo_18.csv, Hokuyo_12.csv,0.961466,-0.182649,0.205477,-2.995308,0.072315,0.889108,0.45195,-1.76604,-0.265241,-0.419676,0.868055,1.411448,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.732402,-0.657598,-0.176499,-1.231421,0.674723,0.735739,0.058633,-3.269435,0.091299,-0.162031,0.982552,-0.093465,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.91119,-0.391756,-0.127504,-2.175442,0.411716,0.87703,0.247605,-2.883029,0.014822,-0.278112,0.960434,0.229309,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.85623,-0.396369,-0.331303,-2.001778,0.312542,0.9081,-0.278701,-2.277666,0.411323,0.135085,0.901423,-1.661568,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.950074,-0.307968,-0.050125,-2.471625,0.31021,0.915017,0.257905,-2.456731,-0.033562,-0.260579,0.964869,0.392523,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.941199,-0.276537,-0.194091,-2.554282,0.240799,0.952045,-0.188754,-2.196427,0.23698,0.130917,0.962653,-1.102913,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.899955,-0.4217,0.110673,-2.247596,0.377624,0.880834,0.285537,-2.559323,-0.217896,-0.215179,0.951955,0.987364,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.879738,-0.292714,-0.374671,-2.335292,-0.060961,0.712076,-0.699451,-0.568285,0.471532,0.638175,0.608595,-2.437339,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.789213,-0.396726,0.468774,-1.92393,0.606738,0.621697,-0.495341,-2.600068,-0.094921,0.675354,0.73136,-0.673874,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.50386,-0.829907,0.239539,-1.134965,0.849463,0.425785,-0.311639,-4.392798,0.156638,0.360502,0.919512,-1.925902,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.564144,-0.367398,0.739432,-0.935196,0.640724,0.759647,-0.111396,-3.908411,-0.520781,0.536616,0.663951,0.263844,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.98107,-0.157929,0.112069,-2.984766,0.093553,0.893226,0.439767,-1.687084,-0.169555,-0.420959,0.891092,2.376989,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.850092,-0.516963,-0.100454,-2.089615,0.512562,0.855988,-0.06757,-3.22365,0.120917,0.005951,0.992644,-0.283727,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.899278,-0.060354,0.433189,-2.964562,0.002293,0.991071,0.13332,-2.101966,-0.437368,-0.118899,0.891388,-0.016004,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.363257,-0.657797,0.659808,-1.236496,0.835227,0.543722,0.082229,-2.031336,-0.412842,0.52122,0.74692,0.2764,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.452693,0.192405,-0.87066,-1.372137,-0.739364,-0.464797,-0.487139,2.428146,-0.498408,0.86426,-0.068153,-0.828611,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.911113,-0.393479,-0.122659,-1.107206,0.340348,0.550442,0.762349,-2.421302,-0.232452,-0.736335,0.635435,2.226196,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.955048,0.032865,0.29462,-2.432191,-0.076456,0.987523,0.137681,-2.394503,-0.286419,-0.154019,0.945643,1.250176,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.869277,-0.302253,-0.391152,-2.410628,0.48593,0.667694,0.563965,-1.679434,0.090709,-0.680316,0.727284,3.094778,0.0,0.0,0.0,1.0
Hokuyo_18.csv, Hokuyo_12.csv,0.278871,0.099488,-0.955161,0.631054,0.051504,0.991639,0.118325,-3.049702,0.958946,-0.082191,0.271414,-4.099239,0.0,0.0,0.0,1.0
Hokuyo_31.csv, Hokuyo_44.csv,-0.994899,-0.029674,0.096413,-3.56791,0.024828,-0.998386,-0.051069,0.026107,0.097773,-0.048417,0.99403,0.308012,0.0,0.0,0.0,1.0
Hokuyo_31.csv, Hokuyo_44.csv,-0.861166,0.351331,0.367368,-3.121678,-0.415804,-0.902591,-0.111513,-1.261537,0.292404,-0.248787,0.923366,1.173275,0.0,0.0,0.0,1.0
Hokuyo_31.csv, Hokuyo_44.csv,-0.945802,0.292406,0.141267,-3.348212,-0.320764,-0.909081,-0.265861,-0.981623,0.050683,-0.296769,0.953603,0.239094,0.0,0.0,0.0,1.0
