reference, reading, iT00, iT01, iT02, iT03, iT10, iT11, iT12, iT13, iT20, iT21, iT22, iT23, iT30, iT31, iT32, iT33
Hokuyo_12.csv, Hokuyo_32.csv,0.951999,0.225383,0.207126,13.808709,-0.296915,0.844465,0.445781,-4.540649,-0.074441,-0.485881,0.870848,-0.730436,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.937077,-0.304028,-0.171626,13.860286,0.317059,0.94688,0.05378,4.487763,0.146158,-0.104812,0.983692,2.500227,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.99216,0.011842,-0.124412,14.654423,0.018722,0.97018,0.24166,-0.062773,0.123562,-0.242095,0.962351,2.090087,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.944475,-0.015984,-0.328195,13.872096,-0.082835,0.954975,-0.284888,-1.418975,0.317971,0.296256,0.900624,4.814834,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.993366,0.10468,-0.047602,14.638487,-0.089492,0.963671,0.251655,-1.486412,0.072215,-0.245726,0.966645,1.374,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.972937,0.128893,-0.191787,14.214524,-0.166535,0.966506,-0.195278,-2.69645,0.160192,0.221932,0.961812,2.532766,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.993311,-0.018606,0.113963,14.61636,-0.014092,0.960027,0.279551,-0.307154,-0.11461,-0.279287,0.953342,-1.29201,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.923942,0.088003,-0.372274,13.431627,-0.34301,0.621405,-0.704414,-5.115222,0.169342,0.778531,0.604327,2.601551,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.880839,-0.038604,0.471837,13.115936,0.303091,0.811617,-0.499414,4.374464,-0.363674,0.582913,0.726605,-5.125762,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.79702,-0.551801,0.245509,11.12065,0.603919,0.732479,-0.314255,7.563403,-0.006425,0.398735,0.917043,-0.697088,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.662428,-0.101656,0.742195,10.341542,0.276819,0.953843,-0.116424,3.118383,-0.696104,0.282577,0.659993,-10.604472,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.960155,0.25536,0.113556,13.996822,-0.279148,0.856788,0.433578,-4.133994,0.013424,-0.448001,0.893932,1.829989,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.987168,-0.12722,-0.096515,14.320472,0.120417,0.990012,-0.07332,1.253527,0.104878,0.060757,0.992626,2.023821,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.844729,0.313231,0.433957,12.322088,-0.401329,0.907167,0.126421,-6.614653,-0.354074,-0.280951,0.892019,-6.388979,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.597239,-0.449137,0.664514,8.040409,0.541698,0.836873,0.078776,9.276484,-0.591497,0.312919,0.74311,-8.708768,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.338119,0.354463,-0.871797,4.920231,-0.484918,-0.728297,-0.484187,-7.799133,-0.806555,0.586464,-0.074364,-13.095235,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.992775,0.010267,-0.119555,15.731024,0.084677,0.645989,0.758635,0.908954,0.08502,-0.763278,0.640451,2.015541,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.858216,0.420212,0.294764,13.296657,-0.471844,0.87193,0.130775,-8.190499,-0.202062,-0.251317,0.946578,-2.447237,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.918316,0.074932,-0.388693,13.222074,0.170634,0.811077,0.559498,3.445311,0.357184,-0.580121,0.732037,7.995455,0.0,0.0,0.0,1.0
Hokuyo_12.csv, Hokuyo_32.csv,0.21737,0.198371,-0.955718,4.45338,-0.356554,0.927605,0.111442,-6.756966,0.908636,0.316542,0.272362,12.219672,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.969905,0.218142,0.108156,-12.480924,-0.213105,0.975408,-0.056254,3.739879,-0.11777,0.031513,0.992542,1.232906,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.907448,-0.180626,0.379357,-12.188485,0.238429,0.964801,-0.110955,-1.861878,-0.345963,0.191136,0.918574,4.567681,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.982229,-0.107288,0.153998,-12.946152,0.145847,0.952748,-0.266458,-0.679191,-0.118135,0.284185,0.951465,1.609325,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.909675,0.228724,-0.346668,-11.540974,-0.212203,0.973483,0.08545,3.859225,0.357017,-0.004167,0.934088,-4.913064,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.976363,-0.088711,-0.197095,-12.873953,0.091024,0.995846,0.002684,-0.055724,0.196036,-0.020559,0.980382,-2.770195,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.998744,-0.032644,-0.037999,-13.166437,0.03411,0.998673,0.038579,0.840855,0.036687,-0.039825,0.998533,-0.832847,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.947109,0.317319,0.047895,-11.757946,-0.303835,0.838623,0.452104,3.753718,0.103293,-0.442742,0.890679,-1.915937,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.972238,-0.108937,-0.207094,-12.16886,0.084223,0.98862,-0.12465,-0.098702,0.218314,0.103749,0.970348,-2.743184,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.683497,0.182092,-0.706878,-8.644571,-0.304795,0.95112,-0.049705,5.589282,0.663274,0.249428,0.705588,-7.121857,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.633785,0.399783,0.662186,-8.521254,-0.338081,0.913152,-0.227714,5.624546,-0.695713,-0.079551,0.713903,7.9923,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.946092,-0.205618,-0.250263,-12.62964,0.071861,0.88665,-0.456824,0.5698,0.315826,0.414215,0.853629,-4.205148,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.893717,0.160994,-0.418752,-10.703943,-0.108129,0.983176,0.147219,3.034374,0.435406,-0.086291,0.896089,-6.499329,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.928457,-0.290157,0.231898,-13.332655,0.33819,0.918545,-0.204705,-4.165751,-0.153613,0.268486,0.950957,1.475424,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,-0.012965,-0.944641,-0.327851,-1.319293,0.96957,0.068289,-0.235102,-12.863978,0.244472,-0.32092,0.915009,-4.473231,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.99013,-0.065989,0.123643,-14.192054,-0.050714,0.653739,0.75502,0.640705,-0.130655,-0.753837,0.64394,-1.855399,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.756236,0.244488,0.606904,-11.159487,-0.160456,0.968538,-0.19023,1.870705,-0.63432,0.046477,0.771674,9.496205,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.761517,-0.601307,-0.241913,-11.470558,0.60569,0.793072,-0.06464,-5.95179,0.230722,-0.097298,0.968143,-4.281745,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.957549,-0.278003,-0.076248,-12.652008,0.281144,0.842169,0.460122,-1.676675,-0.063704,-0.462025,0.884576,0.507931,0.0,0.0,0.0,1.0
Hokuyo_22.csv, Hokuyo_2.csv,0.725124,0.554991,0.407652,-8.575747,-0.679688,0.671862,0.294324,9.746773,-0.11054,-0.490496,0.864404,0.713789,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.932885,0.317867,0.169374,13.807933,-0.271643,0.929722,-0.248659,-4.254668,-0.236511,0.185962,0.953667,-3.29603,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.99887,-0.047468,0.002181,14.737819,0.047104,0.983099,-0.176918,0.5124,0.006254,0.176821,0.984223,0.508233,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.957068,-0.204852,-0.205078,14.274111,0.199638,0.97879,-0.046026,2.606128,0.210157,0.003108,0.977663,3.570491,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.996276,-0.085193,-0.01326,14.790094,0.086203,0.981339,0.171888,1.119179,-0.00163,-0.172391,0.985027,0.387382,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.978776,0.065601,-0.19415,14.515884,-0.045313,0.993211,0.107162,-0.844929,0.199862,-0.09609,0.9751,3.487261,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.968442,-0.03854,0.246241,14.399098,0.047757,0.998361,-0.031572,0.366268,-0.244621,0.042336,0.968694,-3.290743,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.914603,-0.064089,0.399244,14.070209,-0.121806,0.897832,0.423161,-1.411742,-0.385572,-0.435654,0.813351,-4.987494,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.986452,-0.077818,-0.144413,13.290333,0.137296,0.873437,0.467183,1.765736,0.089782,-0.480682,0.872286,2.245022,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.771926,0.357247,-0.525837,12.197269,-0.512772,0.838827,-0.182858,-8.163332,0.375761,0.410787,0.830697,6.19017,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.923344,-0.120951,0.364427,13.418263,0.149087,0.987562,-0.049978,1.57046,-0.353848,0.100479,0.92989,-4.665911,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.794006,-0.309095,-0.523465,11.930191,0.403333,0.912122,0.0732,5.658835,0.454838,-0.269253,0.848897,7.296815,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.911643,-0.103866,0.397642,14.129487,-0.218528,0.696924,0.68304,-4.048151,-0.34807,-0.709585,0.612647,-4.956653,0.0,0.0,0.0,1.0
Hokuyo_4.csv, Hokuyo_26.csv,0.836255,-0.383004,-0.392411,12.28823,0.2688,0.910084,-0.31543,3.682457,0.477938,0.1583,0.864012,6.186289,0.0,0.0,0.0,1.0
