reference, reading, iT00, iT01, iT02, iT03, iT10, iT11, iT12, iT13, iT20, iT21, iT22, iT23, iT30, iT31, iT32, iT33
Hokuyo_29.csv, Hokuyo_16.csv,0.176943,-0.959624,0.218659,-4.937242,0.859111,0.258992,0.441421,-0.751048,-0.48023,0.109746,0.87025,1.299431,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.35156,-0.922421,-0.159829,-3.374348,0.929596,-0.364157,0.056932,-3.502337,-0.11072,-0.128562,0.9855,-0.50271,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.038834,-0.992926,-0.11219,-4.288896,0.968313,-0.065113,0.241104,-2.474819,-0.246706,-0.099272,0.963992,-0.195587,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.064486,-0.946389,-0.316523,-4.016647,0.957549,0.030623,-0.286643,-1.634238,0.280968,-0.321571,0.904238,-2.244807,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.05393,-0.997914,-0.035445,-4.547302,0.967332,0.043407,0.24977,-1.820312,-0.247712,-0.047758,0.967656,0.075676,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.078947,-0.980513,-0.179889,-4.567909,0.973451,0.11472,-0.19808,-1.372512,0.214856,-0.159476,0.963537,-1.386345,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.068964,-0.989603,0.126205,-4.389222,0.959896,-0.031363,0.278596,-2.087438,-0.271743,0.140356,0.952079,1.055375,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.040348,-0.931717,-0.360934,-4.25482,0.637056,0.302274,-0.709077,0.49415,0.769762,-0.201325,0.60575,-2.459695,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.082707,-0.87188,0.482683,-3.851081,0.794435,-0.350107,-0.496284,-2.840978,0.601692,0.342415,0.721608,0.346869,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.591294,-0.764831,0.255745,-3.115078,0.700355,-0.644224,-0.307372,-5.324265,0.399845,-0.002634,0.916578,-1.766582,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.13418,-0.647245,0.750379,-2.437237,0.938356,-0.326414,-0.113761,-4.043778,0.318567,0.688858,0.651144,1.857398,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.206333,-0.970441,0.125173,-4.925535,0.870497,0.240473,0.429428,-0.703727,-0.446837,0.020356,0.894384,2.093645,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.177423,-0.980521,-0.084246,-4.259594,0.982498,-0.171539,-0.072615,-3.008943,0.056748,-0.095656,0.993794,-0.526524,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.270456,-0.854191,0.444082,-4.645855,0.926592,0.356156,0.120749,-0.818521,-0.261307,0.378825,0.887812,0.566991,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.478004,-0.565412,0.672176,-2.759906,0.808337,-0.582583,0.08478,-2.798671,0.343664,0.58387,0.735519,1.656357,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.335564,-0.366385,-0.867846,-1.88708,-0.703365,0.515384,-0.489547,3.144506,0.626639,0.774687,-0.084759,1.180251,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,-0.040432,-0.993401,-0.107325,-3.222953,0.641918,-0.108138,0.759109,-2.332437,-0.765708,-0.038202,0.642054,1.652105,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.376416,-0.874812,0.304981,-4.085089,0.894995,0.428422,0.124263,-0.976937,-0.239369,0.226181,0.944215,1.519059,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.027557,-0.925635,-0.37741,-4.323525,0.802136,-0.204822,0.560915,-1.687015,-0.596507,-0.318192,0.73684,2.02024,0.0,0.0,0.0,1.0
Hokuyo_29.csv, Hokuyo_16.csv,0.185699,-0.238886,-0.953125,0.304727,0.944703,0.310219,0.106307,-1.851761,0.270282,-0.920161,0.283283,-5.908191,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.891569,-0.447279,0.071044,-4.98205,0.446846,-0.894321,-0.022748,-2.103677,0.07371,0.011464,0.997213,0.278032,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.941375,-0.041772,0.334767,-3.543986,0.009534,-0.995203,-0.097368,-3.775348,0.337227,-0.088469,0.937256,0.975563,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.98503,-0.134166,0.10824,-3.999753,0.103803,-0.962943,-0.248929,-3.372248,0.137626,-0.233968,0.962453,-0.391055,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.808631,-0.448862,-0.380313,-4.692614,0.438643,-0.890789,0.118691,-1.941444,-0.392056,-0.070845,0.917209,-1.635217,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.957825,-0.155416,-0.241694,-4.121669,0.15438,-0.987737,0.023335,-3.346709,-0.242358,-0.014963,0.970071,-0.805766,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.973543,-0.213132,-0.08239,-4.419975,0.208461,-0.97608,0.061741,-2.946036,-0.093579,0.042932,0.994685,-0.161387,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.842401,-0.538661,0.014307,-4.873447,0.476788,-0.732745,0.485548,-2.215275,-0.251063,0.415849,0.874091,0.959279,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.958274,-0.13493,-0.252,-3.371293,0.165372,-0.980763,-0.10372,-3.443261,-0.233159,-0.141066,0.962151,-1.097333,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.583472,-0.353126,-0.731341,-3.626606,0.529425,-0.84826,-0.012802,-0.94495,-0.615849,-0.394661,0.68189,-2.282858,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.548543,-0.533802,0.64355,-4.560677,0.561032,-0.805677,-0.190072,-1.075717,0.619953,0.25679,0.741427,2.45043,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.954419,-0.035375,-0.296364,-3.670201,0.168576,-0.883298,-0.437456,-2.527768,-0.246304,-0.467478,0.848998,-3.011186,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.806189,-0.380251,-0.453284,-3.729869,0.337205,-0.924819,0.176074,-1.895862,-0.48616,-0.010901,0.873802,-2.215977,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.981279,0.057321,0.183867,-4.086715,-0.093834,-0.976003,-0.196502,-5.046806,0.16819,-0.210076,0.963108,-0.766992,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.201773,0.914671,-0.350235,2.373329,-0.911146,-0.306478,-0.275473,-4.820402,-0.359306,0.263532,0.895236,-0.873587,0.0,0.0,0.0,1.0
Hokuyo_11.csv, Hokuyo_30.csv,-0.98115,-0.176544,0.078599,-5.352379,0.171886,-0.61137,0.772451,-2.328502,-0.088319,0.771401,0.63019,0.226905,0.0,0.0,0.0,1.0
