reference, reading, iT00, iT01, iT02, iT03, iT10, iT11, iT12, iT13, iT20, iT21, iT22, iT23, iT30, iT31, iT32, iT33
Hokuyo_1.csv, Hokuyo_17.csv,0.969407,0.188465,-0.157261,9.55075,-0.104232,0.896114,0.431412,3.982957,0.222229,-0.401821,0.888343,0.267314,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.811763,-0.370713,-0.451236,5.221572,0.337176,0.9284,-0.156153,8.028042,0.476816,-0.025387,0.878636,4.648843,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.88692,-0.055538,-0.458572,7.645051,0.123431,0.985141,0.119418,6.309498,0.445126,-0.162517,0.880597,3.518498,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.770713,-0.098555,-0.629515,6.248495,-0.155261,0.92914,-0.335547,3.548212,0.617977,0.356349,0.700798,7.812383,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.916856,0.04352,-0.396837,8.446065,0.025334,0.985693,0.166634,5.606809,0.398412,-0.162833,0.902637,3.139684,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.848098,0.055986,-0.526874,7.751471,-0.20228,0.953294,-0.224307,3.233722,0.489708,0.296809,0.819811,6.384978,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.970233,-0.064767,-0.233351,8.326777,0.105627,0.980263,0.167113,6.368674,0.217922,-0.186787,0.957925,1.474203,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.738472,0.002115,-0.67428,6.376122,-0.552553,0.575021,-0.603353,-1.92338,0.386448,0.818135,0.425806,8.241538,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.988855,-0.046572,0.14141,8.815322,0.128611,0.745678,-0.653776,5.134796,-0.075,0.664676,0.743358,3.400914,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.820021,-0.572214,0.011731,3.568501,0.473199,0.666312,-0.576289,6.566446,0.321944,0.47812,0.817162,5.112269,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.87677,-0.072933,0.475348,8.156215,0.240411,0.922531,-0.301891,6.322164,-0.416506,0.378968,0.826382,-1.844462,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.945177,0.209524,-0.250481,9.50271,-0.091547,0.906279,0.412645,4.296002,0.313465,-0.367091,0.875776,2.548027,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.888817,-0.191074,-0.416528,6.649889,0.109626,0.971192,-0.211584,5.870046,0.444956,0.142397,0.884158,5.433726,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.949745,0.302004,0.082319,10.142742,-0.311778,0.936103,0.162804,1.755671,-0.027892,-0.180287,0.983219,-2.270045,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.780833,-0.421668,0.460972,3.995797,0.553947,0.808473,-0.19878,10.78271,-0.288865,0.410568,0.864864,-0.155999,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.021625,0.256088,-0.966411,1.407059,-0.639311,-0.739632,-0.210299,-10.593883,-0.768645,0.622385,0.147726,-4.632108,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.88915,-0.056709,-0.454089,8.726884,0.35779,0.7048,0.61257,6.934425,0.285305,-0.707135,0.646963,-0.516908,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.916374,0.395297,-0.06323,11.115945,-0.377148,0.905448,0.194741,0.463113,0.134231,-0.154609,0.978814,1.036593,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,0.727195,-0.012018,-0.686327,6.066657,0.372798,0.846455,0.380176,9.094192,0.576376,-0.532324,0.620017,5.051351,0.0,0.0,0.0,1.0
Hokuyo_1.csv, Hokuyo_17.csv,-0.124254,0.100279,-0.98717,0.528386,-0.274563,0.95256,0.131323,1.376084,0.953507,0.287357,-0.090827,9.021943,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.971303,-0.223359,0.081728,-3.064902,0.22643,0.973554,-0.030364,0.503784,-0.072784,0.047999,0.996192,-0.129551,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.748738,-0.56485,0.346896,-2.980372,0.628226,0.771642,-0.099494,-0.569976,-0.211478,0.292425,0.932611,0.755628,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.843263,-0.523758,0.120769,-3.041307,0.536371,0.805418,-0.252203,-0.274095,0.034825,0.277452,0.960108,-0.039951,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.912376,-0.173696,-0.370672,-2.66928,0.229261,0.966995,0.111176,0.612832,0.339128,-0.186414,0.922085,-1.486098,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.838917,-0.493489,-0.229532,-2.995644,0.510855,0.85945,0.01933,-0.288131,0.187733,-0.133472,0.973109,-0.938517,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.886442,-0.457489,-0.070153,-3.153077,0.461433,0.885338,0.057053,0.0316,0.03601,-0.082944,0.995903,-0.572594,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.992213,-0.122179,0.024172,-2.673948,0.095884,0.873207,0.477826,-0.308609,-0.079487,-0.471787,0.878121,-0.512887,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.826288,-0.509655,-0.23979,-2.307047,0.49905,0.859836,-0.107843,-0.371397,0.261144,-0.030557,0.964816,-0.82997,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.680971,-0.107305,-0.724405,-1.922655,0.133367,0.990836,-0.021399,1.464695,0.720063,-0.082039,0.689042,-0.893397,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.757302,0.067673,0.649549,-2.752801,0.083413,0.976448,-0.198979,1.23819,-0.647715,0.204869,0.73382,1.029914,0.0,0.0,0.0,1.0
Hokuyo_28.csv, Hokuyo_24.csv,0.760212,-0.584313,-0.283999,-2.911536,0.437334,0.783523,-0.441396,0.340931,0.480434,0.211353,0.851184,-1.656399,0.0,0.0,0.0,1.0
