reference, reading, iT00, iT01, iT02, iT03, iT10, iT11, iT12, iT13, iT20, iT21, iT22, iT23, iT30, iT31, iT32, iT33
Hokuyo_10.csv, Hokuyo_19.csv,0.759597,0.100218,0.642628,2.806398,-0.359988,0.887691,0.287075,-0.967687,-0.541684,-0.449399,0.710365,-0.216377,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.857432,-0.431701,0.280078,2.968664,0.373882,0.896588,0.237362,1.077971,-0.353583,-0.098807,0.93017,0.543962,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.924142,-0.125044,0.361005,3.204929,0.028048,0.964576,0.26231,-0.057923,-0.381016,-0.232287,0.894912,0.360917,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.975782,-0.151302,0.157978,3.015062,0.187716,0.94997,-0.249639,-0.117588,-0.112302,0.273247,0.955366,1.005332,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.900823,-0.031316,0.433055,3.183432,-0.071731,0.972956,0.219571,-0.233426,-0.428218,-0.228859,0.874216,0.237016,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.954668,-0.008201,0.297558,3.037256,0.073819,0.974918,-0.209969,-0.444428,-0.288371,0.222415,0.931329,0.513309,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.807977,-0.149374,0.569966,3.087945,-0.019829,0.95989,0.279672,0.065502,-0.588879,-0.237271,0.772607,-0.273292,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.992401,-0.046638,0.113855,2.852669,0.116997,0.644058,-0.755977,-0.798691,-0.038071,0.763553,0.644621,0.721604,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.537538,-0.145045,0.830672,2.79809,0.606781,0.75059,-0.261594,1.21932,-0.585551,0.644652,0.491481,-0.922405,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.505142,-0.647794,0.570258,1.679179,0.770359,0.636325,0.040449,0.859764,-0.389071,0.418871,0.820469,-0.726681,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.21084,-0.171291,0.962397,2.468823,0.420593,0.904632,0.068867,0.216886,-0.88241,0.390257,0.262775,-2.624327,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.815037,0.126464,0.565439,2.93106,-0.337123,0.897198,0.285275,-0.760199,-0.471233,-0.423132,0.773885,1.332548,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.888417,-0.261422,0.377325,2.882088,0.268717,0.962611,0.034226,0.162248,-0.372163,0.070986,0.925448,0.590813,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.569976,0.207384,0.79506,2.532431,-0.291034,0.955847,-0.040683,-1.739073,-0.768392,-0.208202,0.605166,-2.584724,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.14568,-0.508664,0.848551,0.840682,0.543181,0.757987,0.361123,3.229257,-0.82688,0.408308,0.386719,-1.950361,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.754488,0.283678,-0.591839,1.316966,-0.287088,-0.668265,-0.686296,-2.281122,-0.590193,0.687712,-0.422759,-3.574247,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.922166,-0.126566,0.365502,4.272802,-0.202317,0.647541,0.734682,-0.066072,-0.329662,-0.751447,0.571534,0.659233,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.661763,0.308044,0.683506,3.414878,-0.359069,0.93055,-0.071736,-2.510003,-0.658132,-0.197955,0.726412,-0.406755,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.993598,-0.059239,0.096196,2.708375,-0.011414,0.794492,0.607168,1.57046,-0.112394,-0.604379,0.788729,3.520167,0.0,0.0,0.0,1.0
Hokuyo_10.csv, Hokuyo_19.csv,0.668892,0.143216,-0.729431,2.222677,-0.242287,0.969683,-0.031791,-2.390126,0.702765,0.197997,0.683315,1.729882,0.0,0.0,0.0,1.0
Hokuyo_30.csv, Hokuyo_24.csv,-0.013488,0.998811,-0.046841,-2.419888,-0.983701,-0.021655,-0.178505,1.497333,-0.179306,0.043668,0.982823,-0.098938,0.0,0.0,0.0,1.0
Hokuyo_30.csv, Hokuyo_24.csv,0.325312,0.900711,0.287909,-2.791925,-0.86836,0.405082,-0.286111,0.594618,-0.374329,-0.156934,0.913919,0.866653,0.0,0.0,0.0,1.0
Hokuyo_30.csv, Hokuyo_24.csv,0.298556,0.953259,0.046496,-2.750691,-0.857548,0.289326,-0.425328,0.832247,-0.418901,0.08711,0.903843,0.269357,0.0,0.0,0.0,1.0
Hokuyo_30.csv, Hokuyo_24.csv,0.019596,0.873189,-0.486987,-2.05735,-0.999224,0.00046,-0.039384,1.610884,-0.034165,0.48738,0.87252,-1.302917,0.0,0.0,0.0,1.0
