reference, reading, iT00, iT01, iT02, iT03, iT10, iT11, iT12, iT13, iT20, iT21, iT22, iT23, iT30, iT31, iT32, iT33
Hokuyo_23.csv, Hokuyo_36.csv,0.897632,0.389071,0.207077,7.309385,-0.440723,0.787347,0.431102,-2.683386,0.004687,-0.478234,0.878219,-0.16507,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.976513,-0.140658,-0.163216,7.562569,0.148975,0.988038,0.039828,2.17438,0.155662,-0.063206,0.985785,1.501595,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.976094,0.180656,-0.120851,7.927907,-0.150127,0.962446,0.226187,-0.362029,0.157174,-0.202637,0.966557,1.268722,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.935228,0.141959,-0.324342,7.478968,-0.244147,0.922027,-0.300429,-1.01334,0.256403,0.360158,0.896963,2.58467,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.960805,0.273463,-0.045531,7.885915,-0.255667,0.937548,0.235877,-1.051028,0.107192,-0.21499,0.970715,0.901323,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.937444,0.291615,-0.19016,7.600074,-0.329159,0.920323,-0.211331,-1.72755,0.113382,0.260704,0.958737,1.383614,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.980929,0.154464,0.117983,7.881076,-0.180947,0.947367,0.264111,-0.383149,-0.070978,-0.280423,0.957247,-0.491759,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.897386,0.240177,-0.370154,7.161082,-0.440302,0.542337,-0.715544,-2.877414,0.02889,0.805099,0.592435,1.304362,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.87127,0.120801,0.475706,7.137455,0.162074,0.844052,-0.511181,2.193278,-0.463274,0.522477,0.715819,-2.77833,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.878508,-0.402521,0.257297,5.804234,0.470831,0.820711,-0.323651,3.351088,-0.080891,0.405474,0.91052,-0.745525,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.665231,0.025167,0.746213,5.847865,0.109238,0.985396,-0.130617,1.081077,-0.738605,0.168406,0.652767,-5.949742,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.90111,0.418588,0.113071,7.439489,-0.425264,0.80236,0.418771,-2.398999,0.084569,-0.425443,0.901024,1.792468,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.994935,0.043249,-0.090753,7.650884,-0.051331,0.994736,-0.088685,0.269458,0.08644,0.092895,0.991916,1.276536,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.775378,0.460548,0.432069,6.529236,-0.552307,0.8263,0.11039,-4.051823,-0.30618,-0.324228,0.895058,-3.963078,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.661334,-0.329482,0.673853,4.050252,0.389032,0.918753,0.067424,5.458028,-0.641321,0.217561,0.735781,-4.770712,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.277678,0.394191,-0.876074,2.589418,-0.349172,-0.808156,-0.474303,-4.373772,-0.894973,0.437604,-0.086766,-7.724528,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.976939,0.179283,-0.115967,9.000482,-0.03269,0.662302,0.748524,0.204554,0.211004,-0.727471,0.652888,1.553066,0.0,0.0,0.0,1.0
Hokuyo_23.csv, Hokuyo_36.csv,0.771148,0.566139,0.291236,7.397644,-0.615731,0.779515,0.115042,-5.143597,-0.161893,-0.268037,0.949707,-1.0586,0.0,0.0,0.0,1.0
